id,text,event_number,player_dummy,team_dummy,weekday,month,day,time,user_screen_name,retweets,likes,comments
5.21E+17,"""rt @dariofranchitti: this bathurst race has been an absolute belter!! love the aussie commentary. was hoping for better for my mate @jcourtâ€¦""",11,0,0,7,10,12,7:28,007_dot,0,0,0
5.21E+17,"""rt @wtf1couk: gp3 fans while you're waiting for the race to resume, flick over to the #bathurst1000. exciting final few laps.""",11,0,0,7,10,12,7:28,007_dot,0,0,0
5.21E+17,"""rt @sally_fitz: incredible final laps of #bathurst1000 remarkable comeback from @jamiewhincup coming from the back of the grid @redbullraciâ€¦""",11,1,0,7,10,12,7:31,007cnt,0,0,0
5.21E+17,"""rt @v8supercars: top 10 - mostert, moffat, percat, w davison, whincup, winterbottom, t kelly, r kelly, coulthard and lowndes Â #bathurst1000â€¦""",11,0,0,7,10,12,9:04,007pixxx,0,0,0
5.21E+17,"""#bathurst1000  i present to you, the fully street legal ford f650. http://t.co/7aeaz99smo via @9gag""",11,0,0,7,10,12,10:20,007pixxx,0,0,0
5.21E+17,"""chrysler 300 srt8 - the official safety and course cars http://t.co/r4vpiqwqvd #v8sc via @v8supercars""",11,0,0,7,10,12,9:56,007pixxx,0,0,0
5.21E+17,"""i'm knackered. what happened at the end there @jamiewhincup #v8sc #bathurst1000""",11,1,0,7,10,12,7:48,038d017c,0,0,0
5.21E+17,"""this is why i watch #v8sc no words...""",11,0,0,7,10,12,7:19,038d017c,0,0,0
5.21E+17,"""that hd presentation of the presentation. #bathurst1000""",11,0,0,7,10,12,7:45,0mikr0n,0,1,0
4.60E+17,"""alarm from #adelaide's cycling community as the number of rider deaths surpasses the yearly average http://t.co/1lgyo1tqsu""",4,0,0,5,4,25,11:31,10newsfirst,1,0,0
4.81E+17,"""rt @sapolicenews: man arrested after #blairathol pursuit - south australia #police http://t.co/au1cjea4ga #adelaide""",6,0,0,7,6,22,13:31,10newsfirstadl,0,0,0
4.81E+17,"""rt @sapolicenews: three-car crash at #northadelaide - south australia #police http://t.co/ltbbr5y9rx #adelaide""",6,0,0,7,6,22,13:31,10newsfirstadl,0,0,0
5.21E+17,"""will be doing chapel st laps in my ford to celebrate the win. #bathurst1000""",11,0,0,7,10,12,7:38,1116sam,0,0,0
5.21E+17,"""this #f1 has no last to 1st, roos on track, holes in the track, turn 2 crashes, fuel running out, etc. bit boring after #bathurst1000""",11,0,0,7,10,12,11:38,11shirt,1,0,1
5.21E+17,"""ford #bathurst1000 #ford""",11,0,0,7,10,12,7:34,122blest,0,1,0
5.21E+17,"""rt @mattzel89: #bathurst1000 http://t.co/ayehd5zs0f""",11,0,0,7,10,12,7:18,123pnz,0,0,0
5.21E+17,"""#bathurst1000 waaaaaaaaauuuuu!!!!!!!""",11,0,0,7,10,12,7:34,123pnz,0,0,0
5.21E+17,"""#bathurst1000 Â¡quÃ© final de carrera! Â¡increÃ­ble! Â¡quÃ© ocho horas de carrera!! super Ã©pico!!!!! http://t.co/dy8feg4exb""",11,0,0,7,10,12,7:34,123pnz,0,0,0
5.21E+17,"""#bathurst1000 whincup lidera jajajajaja y toque!!!!! http://t.co/hdd1s0m9eg""",11,0,0,7,10,12,7:17,123pnz,0,0,1
5.21E+17,"""he is gunna run outta fuel!!
 its my biggest fear when driving my supercar each morning!
#bathurst1000""",11,0,0,7,10,12,7:31,12bobleeswagger,0,0,0
4.60E+17,"""rt @channeltennews: alarm from #adelaide's cycling community as the number of rider deaths surpasses the yearly average http://t.co/1lgyo1tâ€¦""",4,0,0,5,4,25,11:32,12britanee,0,0,0
5.21E+17,"""so whincup pigheaderness  has goes him a win and a podium 3 laps to go and ignores save fuel stupid #v8sc""",11,0,0,7,10,12,7:42,1313gm,0,0,0
4.52E+17,"""2:31 am #13cabs is currently experiencing delays in #ingle_farm #wynn_vale #seacombe_heights #adelaide. should clear up within 20 mins.""",3,0,0,7,4,6,16:31,13cabsalerts,0,0,0
5.03E+17,"""rt @holden_racing: lap 21/26. it's still wet. #v8sc http://t.co/ry8yjamhsr""",9,0,0,7,8,24,15:24,143aussie,0,0,0
5.03E+17,"""rt @holden_racing: jc navigated his ship through the wet, to finish 8th in both races #solid #ibleedred #v8sc http://t.co/n3iqngzroy""",9,0,0,7,8,24,15:25,143aussie,0,0,0
5.21E+17,"""rt @v8supercars: 2014 king of the mountain - chaz mostert and paul morris #v8sc #bathurst1000 http://t.co/xwrcjhmg0s""",11,0,0,7,10,12,7:40,16kaystar,0,0,0
4.67E+17,"""love me some #winston churchill http://t.co/isacf2ckmf""",5,0,0,6,5,17,16:23,1971chip,0,0,0
5.21E+17,"""rt @andrewzed3: #bathurst1000
turn 2 http://t.co/8dqy174slo""",11,0,0,7,10,12,7:07,1_hashcheck_0,0,0,0
